pairValue,buyBook,exchangeId,sellBook,updated,buyTotal,satoshiPrice,usdPrice,exchangeLogId,created,bestPair,sellTotalBtc,volume,pairPrice,activePairs,sellTotal,volumeBtc,buyTotalBtc,coinId
1,[],10,[],2019-05-08 11:55:11,168404.85763595,0.00001374,0.0000000008122771980000001,7580954,2019-05-08 11:55:11,btc,15.88226279578451,4461.3379824,0.00001374,btc,34393.10715834,0.0,0.5036716477818601,18
1,[],12,[],2019-05-08 11:55:12,221480.7335513,0.0000133099999999999996200435170567999421109561808407306671142578125,0.0000000007868565870000001,7580955,2019-05-08 11:55:12,btc,33215.319010010324,0.0,0.0000133099999999999996200435170567999421109561808407306671142578125,btc,1147.15588086,0.0013942596184001,0.0187303409330455,18
0,[],2,[],2019-01-20 23:23:38,0.0,0,0,6476906,2019-01-20 23:23:38,,0.0,0.0,0,,0.0,0.0,0.0,18
0,[],17,[],2019-05-03 00:53:39,0.0,0,0,7558882,2019-05-03 00:53:39,btc,0.0,0.0,0,btc,0.0,0.0,0.0,18
1,[],3,[],2019-05-08 11:55:14,152936.52529362333,0.00001114999999999999997189747968917572507052682340145111083984375,0.0000000006591623550000001,7580956,2019-05-08 11:55:14,btc,0.2646295451150767,877.51601513,0.00001114999999999999997189747968917572507052682340145111083984375,btc,7252.566877867577,0.0,0.042209366014499795,19
1,[],4,[],2019-05-08 11:55:15,427291.07285117,0.00001532,0.0000000009056831640000001,7580957,2019-05-08 11:55:15,btc,3.5943911767589514,0.0,0.00001532,btc,116875.60059612,0.98003511,1.1146110766019637,19
1,[],5,[],2019-05-08 11:55:16,0.0,0,0,7580958,2019-05-08 11:55:16,btc,0.0,0.00163611,0,btc,0.0,0.0,0.0,19
1,[],12,[],2019-05-08 11:55:17,199930.30793707,0.000012370000000000000149624236611689553910764516331255435943603515625,0.0000000007312859490000001,7580959,2019-05-08 11:55:17,btc,0.3416946535899544,0.0,0.000012370000000000000149624236611689553910764516331255435943603515625,btc,2935.44046912,0.0148250354557162,0.0857723299995109,19
0,[],27,[],2019-05-08 11:55:27,0.0,0,0,7580960,2019-05-08 11:55:27,,0.0,0.0,0,btc,0.0,0.0,0.0,19
0,[],2,[],2019-01-20 23:24:19,0.0,0,0,6476924,2019-01-20 23:24:19,,0.0,0.0,0,,0.0,0.0,0.0,19
0,[],4,[],2019-05-08 11:57:27,0.0,0,0,7580961,2019-05-08 11:57:27,,0.0,0.0,0,,0.0,0.0,0.0,20
1,[],4,[],2019-05-08 11:57:28,75300989.78118359,0.00000001,0.0000000000005911770000000001,7580962,2019-05-08 11:57:28,btc,39305.4873462735,0.0,0.00000001,btc,55123956.98986641,0.00067825,0.7530098978118358,21
1,[],12,[],2019-05-08 11:57:30,3837090.0,0.00000001,0.0000000000005911770000000001,7580963,2019-05-08 11:57:30,btc,2895.662038990839,0.0,0.00000001,btc,7237924.79920076,0.000234084985015,0.0383709,21
